JUN,NEIL1
JUN,PLAUR
JUN,PLAUR
JUN,PTGS2
JUN,PTGS2
JUN,RARG
JUN,RHOB
JUN,SMAD7
JUN,SPI1
JUN,TNF
JUN,TNF
JUN,TNFRSF10A
JUN,TNFRSF1B
JUN,VEGFA
JUNB,CDKN1A
JUNB,IL1B
JUNB,PTGS2
JUND,BCL6
JUND,BCL6
JUND,CDKN1A
JUND,GCLC
JUND,ITGAV
JUND,MDM2
JUND,MDM2
JUND,MYB
JUND,MYB
JUND,MYB
JUND,NQO2
JUND,PLAUR
JUND,PTGS2
JUND,SOX4
JUND,TGFB1
JUND,TIMP1
KLF10,CDKN1A
KLF16,CDKN1A
KLF2,CCR7
KLF2,CXCR4
KLF2,NOS3
KLF4,ATF3
KLF4,CDKN1A
KLF4,CDKN1A
KLF4,IL1B
KLF4,RARA
KLF4,THBD
KLF4,VEGFA
KLF6,ATF3
KLF6,DAPK2
KLF6,MMP9
KLF6,PMAIP1
LEF1,CTLA4
LEF1,CYLD
LEF1,CYLD
LEF1,MYC
LEF1,MYCBP
LEF1,NRCAM
LEF1,NT5E
LMO2,LYL1
MAF,CCND2
MAX,ODC1
MAZ,HRAS
MEF2A,MEF2A
MEF2C,CDKL5
MEF2C,JUN
MEF2C,JUN
MEF2C,JUN
MEF2C,NR4A1
MEF2C,VEGFA
MEF2D,ATF3
MEIS1,AR
MEIS1,ITGA9
MXI1,MYC
MXI1,MYCN
MYB,CSF3R
MYB,LMO2
MYB,MYB
MYC,AXIN2
MYC,BAG2
MYC,BCL2
MYC,CCND2
MYC,CCND2
MYC,CDK4
MYC,CDK4
MYC,CDK6
MYC,CXCR4
MYC,HNRNPA1
MYC,KRAS
MYC,MST1
MYC,NOL7
MYC,ODC1
MYC,ODC1
MYC,ST3GAL1
MYC,TFAP4
MYCN,HMGA1
MYCN,NTRK1
NFE2,GCLC
NFIB,CDKN1A
NFIC,ALAS1
NFIC,GTF3C2
NFIC,ITGA5
NFIL3,EREG
NFIL3,IL1B
NFIL3,PTGS2
NFKB1,BCL2L11
NFKB1,BCL3
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,CARM1
NFKB1,CCL2
NFKB1,CCL2
NFKB1,CCL20
NFKB1,CCL22
NFKB1,CSNK2A1
NFKB1,CXCL10
NFKB1,CXCL10
NFKB1,ELF3
NFKB1,ERAP1
NFKB1,FAS
NFKB1,FAS
NFKB1,FAS
NFKB1,FASLG
NFKB1,FASLG
NFKB1,GSK3B
NFKB1,HIF1A
NFKB1,HPSE
NFKB1,ICAM1
NFKB1,ICAM1
NFKB1,IER3
NFKB1,IL18
NFKB1,IL18
NFKB1,IL1B
NFKB1,IL1B
NFKB1,IL1RN
NFKB1,ITGAX
NFKB1,KDM2A
NFKB1,MAT2A
NFKB1,MMP14
NFKB1,NAMPT
NFKB1,NFKB1
NFKB1,NFKBIA
NFKB1,NFKBIA
NFKB1,NFKBIA
NFKB1,PTPN6
NFKB1,REPS2
NFKB1,RIPK2
NFKB1,RRM2B
NFKB1,SOCS3
NFKB1,SOD2
NFKB1,SOD2
NFKB1,TNFAIP3
NFKB1,TNFAIP3
NFKB1,TP53
NFKB1,YY1
NFKB1,YY1
NFKB2,HIF1A
NFYB,CCND2
NFYC,FAS
NR1H3,ABCA1
NR1H3,ABCA1
NR3C1,ATF2
NR3C1,BAX
NR3C1,NFKB1
NR3C1,NR3C1
NR3C1,PPIG
NR3C1,RPS6KA3
NR3C1,STAT1
NR3C1,TP53
NRL,NR2E3
PAX5,BCL2
PAX5,BLK
PAX5,CCND1
PAX5,CD19
PAX5,CD19
PAX5,FCER2
PLAGL2,NCF2
POU2AF1,SPIB
POU2F1,POU2AF1
POU2F2,HLA-DRA
POU2F2,SPI1
POU2F2,SPIB
PPARA,ACSL1
PPARA,CD36
PPARA,CPT1A
PPARG,CDKN1A
PPARG,GK
PPARG,KLF4
PPARG,SAT1
PPARG,SAT1
PRDM1,MYC
PRDM1,PCNA
RB1,ATF2
RB1,E2F3
RB1,RB1
RBPJ,NFKB1
REL,BIRC3
REL,CCL2
REL,CSRP1
REL,EPHB2
REL,ICAM1
REL,IER3
REL,IL1B
REL,IL6
REL,TNFAIP3
RELA,BCL3
RELA,CCR2
RELA,CD58
RELA,CFLAR
RELA,CFLAR
RELA,CFLAR
RELA,CXCL10
RELA,CXCL10
RELA,FBP1
RELA,HLA-A
RELA,HLA-F
RELA,ICAM1
RELA,ICAM1
RELA,IL1B
RELA,IL1B
RELA,IL1RN
RELA,IRF1
RELA,IRF1
RELA,ITGAX
RELA,JUNB
RELA,NAMPT
RELA,NFKBIA
RELA,NFKBIA
RELA,NFKBIA
RELA,NFKBIZ
RELA,POU2F2
RELA,PSMB10
RELA,PSMB9
RELA,PTPN6
RELA,RIPK2
RELA,S100A6
RELA,SERPINB1
RELA,SOD2
RELA,SOD2
RELA,STAT1
RELA,TAP1
RELA,TAPBP
RELA,TNFSF10
RELA,TNFSF10
RELA,TNFSF10
RELA,TNFSF14
RELA,XIAP
RELA,XIAP
RELA,XIAP
RELA,YY1
RELA,YY1
RELB,CD40
RFX5,HLA-DMA
RFX5,HLA-DMB
RFX5,HLA-DOA
RFX5,HLA-DOB
RFX5,HLA-DPA1
RFX5,HLA-DPB1
RFX5,HLA-DQA1
RFX5,HLA-DQA2
RFX5,HLA-DQB1
RFX5,HLA-DQB2
RFX5,HLA-DRA
RFX5,HLA-DRB1
RFX5,HLA-DRB5
RORA,NR1D1
RUNX1,PIK3CD
RUNX2,AR
RUNX2,LRP5
RUNX3,CASP3
RUNX3,CASP8
RXRA,ABCC3
RXRA,CPT1B
RXRA,THBD
SNAI1,SNAI1
SOX4,AGO1
SOX4,DICER1
SP1,ABCA1
SP1,ABCA1
